year,scenario,tas_celsius
1850,historical,12.607056
1851,historical,12.788422
1852,historical,12.77771
1853,historical,12.852295
1854,historical,12.947266
1855,historical,12.858368
1856,historical,12.983765
1857,historical,12.941956
1858,historical,12.8784485
1859,historical,12.9953
1860,historical,12.829498
1861,historical,13.009888
1862,historical,12.613892
1863,historical,12.7430725
1864,historical,12.841522
1865,historical,12.952881
1866,historical,13.083801
1867,historical,12.937744
1868,historical,12.796936
1869,historical,12.740356
1870,historical,12.86676
1871,historical,12.952759
1872,historical,13.063568
1873,historical,13.0633545
1874,historical,12.972565
1875,historical,12.878723
1876,historical,12.9973755
1877,historical,13.006989
1878,historical,12.896881
1879,historical,12.824829
1880,historical,12.908417
1881,historical,12.810669
1882,historical,12.654449
1883,historical,12.5659485
1884,historical,12.417633
1885,historical,12.493683
1886,historical,12.632751
1887,historical,12.572876
1888,historical,12.575989
1889,historical,12.566589
1890,historical,12.785889
1891,historical,12.644836
1892,historical,12.856445
1893,historical,12.6596985
1894,historical,12.819611
1895,historical,12.944214
1896,historical,12.737122
1897,historical,12.804443
1898,historical,12.805603
1899,historical,12.951233
1900,historical,12.997131
1901,historical,12.850403
1902,historical,12.834351
1903,historical,12.832764
1904,historical,12.7901
1905,historical,12.735168
1906,historical,12.729248
1907,historical,12.718964
1908,historical,12.928925
1909,historical,12.933044
1910,historical,12.92691
1911,historical,12.972504
1912,historical,12.898376
1913,historical,12.742798
1914,historical,12.765442
1915,historical,12.925934
1916,historical,13.078339
1917,historical,12.921753
1918,historical,12.895782
1919,historical,12.789215
1920,historical,12.942505
1921,historical,13.08139
1922,historical,12.729553
1923,historical,12.6604
1924,historical,12.940186
1925,historical,12.856934
1926,historical,12.96814
1927,historical,12.860596
1928,historical,12.931061
1929,historical,13.059021
1930,historical,12.907684
1931,historical,12.773987
1932,historical,12.971985
1933,historical,13.074829
1934,historical,13.086365
1935,historical,12.973328
1936,historical,13.053833
1937,historical,13.227783
1938,historical,13.169312
1939,historical,13.020599
1940,historical,12.956909
1941,historical,13.099731
1942,historical,13.354065
1943,historical,13.30127
1944,historical,13.159668
1945,historical,13.166687
1946,historical,13.095154
1947,historical,13.189331
1948,historical,13.2873535
1949,historical,13.215607
1950,historical,13.080383
1951,historical,13.236938
1952,historical,13.383362
1953,historical,13.264374
1954,historical,13.147064
1955,historical,13.274994
1956,historical,13.316772
1957,historical,13.420685
1958,historical,13.446075
1959,historical,13.204376
1960,historical,13.297516
1961,historical,13.306549
1962,historical,13.531128
1963,historical,13.335846
1964,historical,13.223633
1965,historical,13.268158
1966,historical,13.276428
1967,historical,13.294342
1968,historical,13.299927
1969,historical,13.37616
1970,historical,13.181671
1971,historical,13.217468
1972,historical,13.357086
1973,historical,13.507599
1974,historical,13.253693
1975,historical,13.228973
1976,historical,13.388763
1977,historical,13.378082
1978,historical,13.33609
1979,historical,13.409637
1980,historical,13.563293
1981,historical,13.461578
1982,historical,13.187866
1983,historical,13.04126
1984,historical,13.199738
1985,historical,13.103149
1986,historical,13.408722
1987,historical,13.652863
1988,historical,13.8637085
1989,historical,14.008179
1990,historical,13.586548
1991,historical,13.500488
1992,historical,13.407379
1993,historical,13.452301
1994,historical,13.517242
1995,historical,13.72644
1996,historical,13.818176
1997,historical,13.743683
1998,historical,13.644043
1999,historical,13.736176
2000,historical,13.831024
2001,historical,13.733582
2002,historical,13.640991
2003,historical,13.736511
2004,historical,13.7352295
2005,historical,14.027069
2006,historical,14.043945
2007,historical,13.785065
2008,historical,13.871277
2009,historical,14.287842
2010,historical,14.337494
2011,historical,13.961182
2012,historical,14.205994
2013,historical,14.177307
2014,historical,14.052185
2015,ssp245,13.991455
2016,ssp245,14.070587
2017,ssp245,14.447632
2018,ssp245,14.390076
2019,ssp245,14.320923
2020,ssp245,14.389801
2021,ssp245,14.409546
2022,ssp245,14.264343
2023,ssp245,14.317657
2024,ssp245,14.5512085
2025,ssp245,14.613342
2026,ssp245,14.720154
2027,ssp245,14.591095
2028,ssp245,14.524353
2029,ssp245,14.590942
2030,ssp245,14.483826
2031,ssp245,14.656464
2032,ssp245,14.954102
2033,ssp245,14.802551
2034,ssp245,14.777954
2035,ssp245,14.697632
2036,ssp245,14.943207
2037,ssp245,15.040405
2038,ssp245,14.844879
2039,ssp245,15.114685
2040,ssp245,15.391266
2041,ssp245,15.174652
2042,ssp245,15.030579
2043,ssp245,15.092682
2044,ssp245,14.981903
2045,ssp245,15.166229
2046,ssp245,15.346588
2047,ssp245,15.48645
2048,ssp245,15.410095
2049,ssp245,15.377228
2050,ssp245,15.407196
2051,ssp245,15.190216
2052,ssp245,15.408112
2053,ssp245,15.734802
2054,ssp245,15.729858
2055,ssp245,15.558289
2056,ssp245,15.339661
2057,ssp245,15.567505
2058,ssp245,15.677155
2059,ssp245,15.550537
2060,ssp245,15.707581
2061,ssp245,15.74057
2062,ssp245,15.838013
2063,ssp245,15.807037
2064,ssp245,15.753815
2065,ssp245,15.668762
2066,ssp245,15.867065
2067,ssp245,16.065979
2068,ssp245,16.112122
2069,ssp245,15.844635
2070,ssp245,15.820404
2071,ssp245,16.01471
2072,ssp245,16.039062
2073,ssp245,16.351837
2074,ssp245,16.090881
2075,ssp245,16.012024
2076,ssp245,16.310028
2077,ssp245,16.243317
2078,ssp245,16.192596
2079,ssp245,16.109314
2080,ssp245,16.03006
2081,ssp245,16.071869
2082,ssp245,16.184265
2083,ssp245,16.337006
2084,ssp245,16.489868
2085,ssp245,16.537537
2086,ssp245,16.501892
2087,ssp245,16.292297
2088,ssp245,16.29535
2089,ssp245,16.365509
2090,ssp245,16.63971
2091,ssp245,16.640625
2092,ssp245,16.41977
2093,ssp245,16.403961
2094,ssp245,16.487732
2095,ssp245,16.535583
2096,ssp245,16.705017
2097,ssp245,16.70996
2098,ssp245,16.355865
2099,ssp245,16.396881
2100,ssp245,16.763275
2015,ssp585,14.161621
2016,ssp585,14.494934
2017,ssp585,14.625427
2018,ssp585,14.3550415
2019,ssp585,14.323334
2020,ssp585,14.335541
2021,ssp585,14.533447
2022,ssp585,14.286407
2023,ssp585,14.336945
2024,ssp585,14.395477
2025,ssp585,14.442596
2026,ssp585,14.46579
2027,ssp585,14.572357
2028,ssp585,14.747772
2029,ssp585,14.933685
2030,ssp585,14.850098
2031,ssp585,14.548096
2032,ssp585,14.521545
2033,ssp585,14.498718
2034,ssp585,14.631195
2035,ssp585,14.614563
2036,ssp585,14.778503
2037,ssp585,14.770782
2038,ssp585,15.095154
2039,ssp585,15.058655
2040,ssp585,14.990723
2041,ssp585,15.15448
2042,ssp585,15.287323
2043,ssp585,15.5008545
2044,ssp585,15.623047
2045,ssp585,15.52063
2046,ssp585,15.481873
2047,ssp585,15.658508
2048,ssp585,15.757568
2049,ssp585,15.665222
2050,ssp585,15.802856
2051,ssp585,15.8376465
2052,ssp585,15.995117
2053,ssp585,16.038116
2054,ssp585,16.010376
2055,ssp585,16.031738
2056,ssp585,16.340515
2057,ssp585,16.30014
2058,ssp585,16.319
2059,ssp585,16.2453
2060,ssp585,16.4068
2061,ssp585,16.272705
2062,ssp585,16.404785
2063,ssp585,16.650452
2064,ssp585,16.683258
2065,ssp585,16.681976
2066,ssp585,16.958801
2067,ssp585,16.919434
2068,ssp585,16.961914
2069,ssp585,17.00586
2070,ssp585,17.191803
2071,ssp585,17.39209
2072,ssp585,17.323303
2073,ssp585,17.260986
2074,ssp585,17.379974
2075,ssp585,17.268738
2076,ssp585,17.452057
2077,ssp585,17.594757
2078,ssp585,17.790924
2079,ssp585,17.845764
2080,ssp585,18.19635
2081,ssp585,18.381622
2082,ssp585,18.011719
2083,ssp585,18.162933
2084,ssp585,18.347015
2085,ssp585,18.177338
2086,ssp585,18.428894
2087,ssp585,18.700073
2088,ssp585,18.651031
2089,ssp585,18.842773
2090,ssp585,18.962952
2091,ssp585,18.913513
2092,ssp585,18.922089
2093,ssp585,18.890411
2094,ssp585,18.982697
2095,ssp585,19.258698
2096,ssp585,19.37143
2097,ssp585,19.257477
2098,ssp585,19.49353
2099,ssp585,19.732819
2100,ssp585,19.569641
