lat,lon,tas_anomaly,year,scenario
-88.09859,3.75,1.368,2030,ssp245
-88.09859,13.75,1.337,2030,ssp245
-88.09859,23.75,1.319,2030,ssp245
-88.09859,33.75,1.339,2030,ssp245
-88.09859,43.75,1.332,2030,ssp245
-88.09859,53.75,1.342,2030,ssp245
-88.09859,63.75,1.348,2030,ssp245
-88.09859,73.75,1.336,2030,ssp245
-88.09859,83.75,1.364,2030,ssp245
-88.09859,93.75,1.378,2030,ssp245
-88.09859,103.75,1.36,2030,ssp245
-88.09859,113.75,1.344,2030,ssp245
-88.09859,123.75,1.362,2030,ssp245
-88.09859,133.75,1.298,2030,ssp245
-88.09859,143.75,1.289,2030,ssp245
-88.09859,153.75,1.154,2030,ssp245
-88.09859,163.75,1.105,2030,ssp245
-88.09859,173.75,1.081,2030,ssp245
-88.09859,183.75,1.118,2030,ssp245
-88.09859,193.75,1.133,2030,ssp245
-88.09859,203.75,1.115,2030,ssp245
-88.09859,213.75,1.119,2030,ssp245
-88.09859,223.75,1.167,2030,ssp245
-88.09859,233.75,1.182,2030,ssp245
-88.09859,243.75,1.242,2030,ssp245
-88.09859,253.75,1.227,2030,ssp245
-88.09859,263.75,1.366,2030,ssp245
-88.09859,273.75,1.404,2030,ssp245
-88.09859,283.75,1.444,2030,ssp245
-88.09859,293.75,1.447,2030,ssp245
-88.09859,303.75,1.451,2030,ssp245
-88.09859,313.75,1.448,2030,ssp245
-88.09859,323.75,1.443,2030,ssp245
-88.09859,333.75,1.46,2030,ssp245
-88.09859,343.75,1.452,2030,ssp245
-88.09859,353.75,1.416,2030,ssp245
-83.02817,3.75,1.181,2030,ssp245
-83.02817,13.75,0.967,2030,ssp245
-83.02817,23.75,0.792,2030,ssp245
-83.02817,33.75,0.722,2030,ssp245
-83.02817,43.75,0.847,2030,ssp245
-83.02817,53.75,0.887,2030,ssp245
-83.02817,63.75,0.959,2030,ssp245
-83.02817,73.75,1.092,2030,ssp245
-83.02817,83.75,1.202,2030,ssp245
-83.02817,93.75,1.214,2030,ssp245
-83.02817,103.75,1.175,2030,ssp245
-83.02817,113.75,1.119,2030,ssp245
-83.02817,123.75,1.086,2030,ssp245
-83.02817,133.75,1.017,2030,ssp245
-83.02817,143.75,0.799,2030,ssp245
-83.02817,153.75,0.618,2030,ssp245
-83.02817,163.75,0.418,2030,ssp245
-83.02817,173.75,0.164,2030,ssp245
-83.02817,183.75,-0.067,2030,ssp245
-83.02817,193.75,-0.162,2030,ssp245
-83.02817,203.75,-0.441,2030,ssp245
-83.02817,213.75,-0.635,2030,ssp245
-83.02817,223.75,-0.728,2030,ssp245
-83.02817,233.75,-0.289,2030,ssp245
-83.02817,243.75,0.65,2030,ssp245
-83.02817,253.75,1.252,2030,ssp245
-83.02817,263.75,0.969,2030,ssp245
-83.02817,273.75,1.111,2030,ssp245
-83.02817,283.75,1.383,2030,ssp245
-83.02817,293.75,1.728,2030,ssp245
